Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C16, C17, C19, C2, C20, C21, C22, C24, C25, C26, C27, C3, C30, C31, C33, C35, C36, C37, C4, C5",0603,25,0.1u,
"C10, C28, C38, C39",CP_EIA-7343-15_Kemet-W,4,100u,
"C11, C18, C7, C8",0603,4,2.2u,
"C23, C32, C34",0603,3,22p,
"C29, C40, C43",0805,3,10u,
"C6, C9",1206,2,4.7u,
"D1, D3, D4, D5, D6, D7, D8, D9",0603,8,LED,
"D15, D20",D_SOD-123F,2,SS2040FL,
D2,SO-221BC,1,MA10EB045,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Battery,
"J10, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,MOTOR,
J12,PinHeader_2x05_P1.27mm_Vertical,1,EMCODER_2,
J15,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SIDE_SENSE_1,
"J16, J18",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,FAN_1,
J17,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,SIDE_SENSE_2,
J19,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,POTENTIOMETER,
J2,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,SWD,
J3,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,USART,
J4,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C,
J5,Molex_200528-0120_1x12-0.5MP_P0.50mm_Horizontal,1,STEER_MOTOR,
J6,Molex_200528-0080_1x08-0.5MP_P0.50mm_Horizontal,1,LINE_SENS,
J7,PinHeader_2x05_P1.27mm_Vertical,1,EMCODER_1,
J8,IL-G_2PIN,1,1S,
Q1,TO-252-3_TabPin2,1,PMOS,
"Q6, Q9",SOT-23,2,A03400A,
"R1, R13, R16, R17, R18, R19, R20, R21, R22, R23, R29, R3, R31, R39, R46, R9",0603,16,10k,
R10,0603,1,150,
"R11, R25, R27",0603,3,16k,
R12,0603,1,50k,
R14,0603,1,2.5k,
R15,0603,1,620,
R2,0603,1,1.8k,
"R24, R33",0603,2,280,
"R26, R28",0603,2,47k,
"R30, R32, R4, R5, R6, R7",0603,6,820,
R8,0603,1,1.2k,
SW1,SW_SPST_B3U-1000P,1,RST_SW,
SW2,SSAJ12,1,SW_POWER,
SW3,SW_SPST_B3U-1000P,1,SW_1,
SW4,SW_SPST_B3U-1000P,1,SW_2,
SW5,SW_SPST_B3U-1000P,1,SW_3,
U1,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm_ThermalVias,1,ICM20649,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U3,LXDC55FAAA203,1,LXDC55F,
U4,DSC6021CI2A,1,DSC6021CI2A,
U5,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8876,
U6,TO-252-2,1,NJU7223,
"U7, U8",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,2,DRV8874,
