Designator,Mid X,Mid Y,Rotation,Layer
C1,129.125,-114.475,270.0,top
C10,124.2375,-101.5,0.0,bottom
C11,130.475,-99.8,180.0,bottom
C12,173.5,-89.9,90.0,bottom
C13,173.525,-107.3,180.0,bottom
C14,159.1,-92.95,0.0,bottom
C15,161.05,-107.55,0.0,bottom
C16,169.35,-110.85,270.0,bottom
C17,179.85,-98.575,90.0,bottom
C18,127.0,-89.15,270.0,bottom
C19,170.4,-110.175,0.0,top
C2,150.125,-104.025,180.0,top
C20,140.4,-97.65,90.0,top
C21,128.55,-89.15,270.0,bottom
C22,173.9,-110.175,0.0,top
C23,140.0,-97.45,90.0,bottom
C24,140.7,-90.825,270.0,bottom
C25,177.4,-110.15,0.0,top
C26,139.15,-90.825,90.0,bottom
C27,149.55,-96.85,270.0,bottom
C28,133.85,-89.85,0.0,bottom
C29,149.8,-93.55,90.0,bottom
C3,162.15,-89.325,180.0,bottom
C30,116.275,-97.95,180.0,bottom
C31,183.4,-97.95,180.0,bottom
C32,147.4,-118.045607,180.0,bottom
C33,148.125,-120.370607,270.0,bottom
C34,160.125,-118.175,180.0,bottom
C35,160.925,-120.475,270.0,bottom
C36,146.575,-120.370607,90.0,bottom
C37,159.375,-120.475,90.0,bottom
C38,143.35,-118.145607,90.0,bottom
C39,156.025,-118.225,90.0,bottom
C4,153.225,-104.025,0.0,top
C40,178.65,-115.15,90.0,bottom
C43,172.6,-115.1,90.0,bottom
C5,147.075,-104.025,0.0,top
C6,136.7,-101.55,90.0,bottom
C7,164.1,-107.55,180.0,bottom
C8,157.451992,-94.623008,45.0,bottom
C9,139.1,-101.55,90.0,bottom
D1,115.65,-117.05,0.0,top
D15,176.4,-114.65,90.0,bottom
D2,131.1,-102.3,180.0,bottom
D20,170.35,-114.65,90.0,bottom
D3,173.675,-92.7,90.0,top
D4,175.275,-92.7,90.0,top
D5,176.875,-92.7125,90.0,top
D6,178.475,-92.7,90.0,top
D7,115.7125,-113.75,0.0,top
D8,115.725,-110.4,0.0,top
D9,183.3,-116.6125,270.0,top
J1,128.0,-109.0,180.0,bottom
J10,165.2,-120.1,90.0,top
J12,117.0,-100.0,0.0,bottom
J15,116.075,-95.15,90.0,top
J16,178.4,-120.1,90.0,top
J17,183.75,-95.15,270.0,top
J18,171.8,-120.1,90.0,top
J19,140.275,-89.975,0.0,top
J2,161.025,-90.575,0.0,top
J3,169.45,-90.575,0.0,top
J4,124.3,-89.875,0.0,top
J5,135.9,-101.31,0.0,top
J6,150.0,-92.04,180.0,top
J7,184.0,-100.0,0.0,bottom
J8,183.75,-111.8,0.0,top
J9,152.6,-120.1,90.0,top
Q1,136.8,-117.765,270.0,bottom
Q6,179.35,-111.3125,270.0,bottom
Q9,173.35,-111.3125,270.0,bottom
R1,124.675,-118.15,0.0,top
R10,129.3,-93.925,90.0,bottom
R11,133.35,-91.025,270.0,top
R12,130.35,-91.025,90.0,top
R13,134.85,-91.025,270.0,top
R14,131.85,-91.025,90.0,top
R15,115.7125,-112.21,180.0,top
R16,128.6,-100.825,270.0,top
R17,127.075,-100.825,270.0,top
R18,144.075,-102.475,0.0,top
R19,144.075,-100.95,0.0,top
R2,115.6875,-115.5,180.0,top
R20,144.075,-99.425,0.0,top
R21,144.075,-97.9,0.0,top
R22,144.075,-96.375,0.0,top
R23,144.075,-94.85,0.0,top
R24,115.7375,-108.85,180.0,top
R25,143.8,-110.1,0.0,top
R26,143.8,-111.6,180.0,top
R27,156.5,-111.675,0.0,top
R28,156.5,-110.15,180.0,top
R29,153.325,-111.675,180.0,top
R3,168.375,-89.95,270.0,bottom
R30,153.325,-110.15,0.0,top
R31,167.1,-111.625,0.0,bottom
R32,167.1,-110.125,180.0,bottom
R33,184.85,-116.625,270.0,top
R39,176.8,-110.875,270.0,bottom
R4,173.675,-89.625,90.0,top
R46,170.85,-110.85,270.0,bottom
R5,175.275,-89.625,90.0,top
R6,176.875,-89.625,90.0,top
R7,178.45,-89.625,90.0,top
R8,129.3,-97.075,270.0,bottom
R9,125.4,-89.125,90.0,bottom
SW1,125.575,-114.45,0.0,top
SW2,122.6,-120.885,0.0,top
SW3,170.575,-106.675,270.0,top
SW4,174.075,-106.675,270.0,top
SW5,177.575,-106.675,270.0,top
U1,150.0,-100.0,0.0,top
U2,166.575,-99.0,0.0,bottom
U3,126.6,-96.05,180.0,bottom
U4,178.45,-96.75,0.0,bottom
U5,135.2,-96.15,180.0,bottom
U6,145.2,-91.96,90.0,bottom
U7,148.7,-113.3,270.0,bottom
U8,161.4,-113.45,270.0,bottom
