Designator,Mid X,Mid Y,Rotation,Layer
C41,72.4,-103.0,0.0,top
C42,85.76,-103.0,0.0,top
C44,80.774264,-70.696402,180.0,top
D10,59.954182,-77.698093,325.0,bottom
D11,66.864069,-74.228617,339.0,bottom
D12,74.980894,-72.25043,353.0,bottom
D13,72.4125,-116.55,0.0,bottom
D14,85.76,-116.5,0.0,bottom
D16,83.417634,-72.15043,7.0,bottom
D17,72.4,-118.55,0.0,top
D18,85.7475,-118.5,0.0,top
D19,91.564069,-74.164187,21.0,bottom
D21,98.454182,-77.694711,35.0,bottom
J11,79.199264,-74.056402,0.0,top
J13,72.4,-99.125,0.0,top
J14,85.76,-99.1,0.0,top
Q2,62.731309,-81.88413,325.0,bottom
Q3,68.624032,-78.882372,339.0,bottom
Q4,75.568752,-77.160655,353.0,bottom
Q5,82.868752,-77.132149,187.0,bottom
Q7,89.824032,-78.910432,201.0,bottom
Q8,95.631309,-81.908674,215.0,bottom
R34,61.323464,-79.819603,325.0,bottom
R35,67.774264,-76.542056,339.0,bottom
R36,75.280413,-74.646944,353.0,bottom
R37,72.4,-114.55,0.0,bottom
R38,85.735,-114.5,0.0,bottom
R40,83.180413,-74.64586,7.0,bottom
R41,72.4,-116.55,0.0,top
R42,85.76,-116.5,0.0,top
R43,69.7,-103.85,270.0,top
R44,83.06,-103.9,270.0,top
R45,90.62906,-76.550748,21.0,bottom
R47,97.023464,-79.773201,35.0,bottom
U10,85.73,-107.45,90.0,bottom
U9,72.42,-107.45,90.0,bottom
